                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     77,                0.73275,                 2.3211,                0.27097,                0.52142,                 1.0433,                0.92642,                0.86174,                0.92162,                0.71053,                0.74897,                0.59118,                0.54071,                0.34288,                0.94601,                 3.8405,                0.32695,                 0.6638,                 1.2369,               0.000515,               0.000515,               0.000515
                     78,                0.73061,                 2.2955,                0.26778,                0.52519,                 1.0455,                0.92336,                0.84727,                0.92209,                0.70716,                0.75255,                0.59808,                0.55811,                0.35621,                0.95796,                  3.793,                0.32687,                0.67524,                 1.2383,              0.0004952,              0.0004952,              0.0004952
                     79,                0.72468,                 2.2669,                0.26685,                0.51232,                 1.0429,                0.94333,                0.85319,                0.93148,                0.71571,                0.69712,                0.57688,                0.50655,                0.32297,                0.93332,                 4.0683,                0.32436,                0.65455,                 1.2214,              0.0004754,              0.0004754,              0.0004754
                     80,                0.71685,                 2.2733,                0.26995,                0.52126,                 1.0426,                0.94645,                0.84271,                 0.9262,                0.70989,                0.74239,                0.59356,                0.53259,                0.33635,                0.94088,                 3.9052,                0.32587,                0.66924,                 1.2364,              0.0004556,              0.0004556,              0.0004556
                     81,                0.71774,                 2.2604,                0.26746,                0.50865,                 1.0344,                0.93456,                0.85109,                0.92659,                0.70758,                0.74973,                0.61056,                0.55968,                  0.364,                0.95309,                 3.7452,                0.32582,                0.66287,                  1.238,              0.0004358,              0.0004358,              0.0004358
                     82,                0.71295,                 2.2487,                0.26786,                0.50798,                 1.0366,                0.93352,                0.84982,                0.92473,                 0.7106,                0.73864,                0.60906,                0.54471,                0.34925,                0.94989,                  3.841,                0.32695,                0.65303,                 1.2294,               0.000416,               0.000416,               0.000416
                     83,                0.70795,                 2.2096,                0.26479,                 0.5127,                 1.0329,                0.92487,                0.85096,                0.92627,                0.71104,                0.77096,                0.61502,                 0.5727,                0.36491,                0.94545,                 3.6712,                0.32272,                0.65594,                  1.231,              0.0003962,              0.0003962,              0.0003962
                     84,                0.70562,                 2.1993,                0.26397,                0.50648,                 1.0333,                0.92027,                0.86672,                0.92996,                0.71224,                0.74972,                0.60072,                0.54387,                0.35134,                0.93799,                  3.733,                0.32448,                0.65191,                  1.222,              0.0003764,              0.0003764,              0.0003764
                     85,                0.71154,                  2.197,                0.26403,                0.50613,                 1.0365,                0.94212,                0.85367,                0.92988,                0.71324,                0.72562,                0.59356,                0.52949,                0.33485,                0.94159,                 3.9454,                 0.3255,                0.64169,                 1.2313,              0.0003566,              0.0003566,              0.0003566
                     86,                0.69907,                 2.1539,                  0.263,                0.49819,                 1.0298,                0.94417,                0.84653,                 0.9285,                0.71163,                 0.7465,                0.60548,                0.54567,                0.34768,                0.94325,                 3.7808,                0.32573,                0.64995,                 1.2328,              0.0003368,              0.0003368,              0.0003368
                     87,                0.70884,                 2.1699,                 0.2619,                 0.5048,                 1.0344,                0.92121,                0.87366,                0.93218,                0.71365,                0.78128,                0.61307,                0.57129,                0.36141,                0.94647,                 3.6089,                0.32324,                0.64103,                 1.2349,               0.000317,               0.000317,               0.000317
                     88,                0.70403,                 2.1044,                0.25878,                0.49642,                 1.0347,                0.93717,                0.84625,                 0.9261,                0.71012,                0.77753,                0.60667,                0.57271,                0.37181,                0.94744,                  3.719,                0.32014,                 0.6507,                 1.2288,              0.0002972,              0.0002972,              0.0002972
                     89,                0.69135,                 2.1014,                0.25591,                0.48367,                 1.0242,                0.91841,                0.87212,                0.92719,                0.71069,                0.78222,                0.61383,                0.56745,                0.35458,                0.94267,                  3.764,                0.32238,                0.63924,                 1.2358,              0.0002774,              0.0002774,              0.0002774
                     90,                0.70098,                 2.1519,                0.25915,                0.49859,                 1.0356,                 0.9237,                0.86412,                0.92774,                0.71158,                0.79402,                0.63863,                0.60743,                0.37941,                0.93721,                 3.5212,                0.31941,                 0.6466,                 1.2313,              0.0002576,              0.0002576,              0.0002576
                     91,                0.63035,                 1.8952,                0.24938,                0.40959,                0.99085,                0.92792,                0.85931,                0.92084,                0.70463,                0.75988,                0.60349,                0.55431,                0.36088,                0.95116,                 3.8096,                0.32412,                0.65578,                 1.2398,              0.0002378,              0.0002378,              0.0002378
                     92,                0.62529,                  1.854,                  0.249,                0.40201,                0.98944,                 0.9299,                0.85385,                0.92382,                0.70729,                0.74716,                0.58641,                0.53191,                 0.3415,                0.94672,                 3.9065,                0.32283,                0.64893,                 1.2378,               0.000218,               0.000218,               0.000218
                     93,                 0.6067,                 1.8398,                0.24637,                0.38969,                0.98312,                0.93384,                0.85805,                 0.9236,                0.70686,                0.73394,                0.57867,                0.52055,                0.34048,                0.94199,                 3.9763,                0.32282,                0.65372,                 1.2326,              0.0001982,              0.0001982,              0.0001982
