                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     56,                0.79596,                 2.5879,                0.19426,                0.58036,                 1.0863,                0.93152,                0.83477,                0.91553,                0.69518,                 0.7736,                0.59309,                0.56896,                0.33311,                0.98798,                 3.8341,                0.27176,                0.72074,                 1.2652,              0.0005744,              0.0005744,              0.0005744
                     57,                0.79121,                 2.5556,                0.19267,                0.57637,                 1.0849,                0.90769,                0.84876,                0.91309,                0.69046,                0.76013,                0.59186,                0.56169,                0.32119,                0.99923,                 3.7847,                0.27437,                0.72693,                 1.2771,               0.000548,               0.000548,               0.000548
                     58,                0.77571,                 2.5019,                0.18872,                0.56996,                 1.0756,                0.94497,                0.82578,                0.91629,                0.69285,                0.77392,                0.61159,                0.57299,                0.34933,                 1.0091,                 3.7004,                 0.2727,                 0.7088,                 1.2817,              0.0005216,              0.0005216,              0.0005216
                     59,                0.76707,                 2.4557,                0.19272,                0.55907,                 1.0651,                0.91107,                0.85898,                 0.9196,                0.69691,                0.70074,                0.55435,                0.48816,                0.29506,                0.98487,                 4.1512,                0.27352,                0.69865,                  1.269,              0.0004952,              0.0004952,              0.0004952
                     60,                0.77754,                 2.4823,                0.19462,                0.56075,                 1.0731,                0.91964,                0.84665,                0.92057,                0.69801,                 0.7625,                0.60419,                0.56735,                0.34388,                0.98788,                 3.7588,                0.27617,                0.70865,                 1.2648,              0.0004688,              0.0004688,              0.0004688
                     61,                0.75758,                 2.3844,                0.18785,                0.55249,                 1.0612,                0.95167,                0.82549,                0.91868,                0.69459,                0.75513,                0.62392,                0.57259,                 0.3447,                 0.9751,                 3.6813,                0.27444,                0.70304,                 1.2554,              0.0004424,              0.0004424,              0.0004424
                     62,                0.76321,                 2.4694,                0.18702,                0.55724,                 1.0677,                0.91006,                 0.8484,                0.92304,                0.70006,                 0.7182,                0.58816,                0.53998,                0.32722,                0.97047,                 3.8744,                0.27213,                0.71931,                 1.2512,               0.000416,               0.000416,               0.000416
                     63,                0.75641,                 2.4125,                0.18836,                0.55258,                 1.0621,                0.95325,                0.82121,                0.92033,                0.69746,                0.74884,                0.61036,                0.55909,                0.33671,                0.97084,                 3.7966,                0.27337,                 0.6872,                 1.2468,              0.0003896,              0.0003896,              0.0003896
                     64,                 0.7493,                 2.3706,                0.19018,                0.53397,                 1.0584,                0.91384,                0.85327,                0.92201,                0.69988,                0.69515,                0.55857,                0.50018,                0.30938,                0.97024,                 4.0987,                 0.2706,                0.68619,                 1.2497,              0.0003632,              0.0003632,              0.0003632
                     65,                0.74491,                 2.3756,                0.18741,                0.54125,                 1.0596,                0.93034,                0.83981,                0.92072,                 0.7012,                0.74232,                0.61776,                0.56975,                0.33858,                0.97367,                 3.7986,                0.27479,                0.69137,                 1.2584,              0.0003368,              0.0003368,              0.0003368
                     66,                0.68842,                 2.1459,                0.14548,                0.45409,                 1.0251,                0.92884,                0.83477,                 0.9197,                0.69982,                0.76321,                0.58816,                0.55788,                0.32717,                0.95269,                 3.7969,                0.26991,                 0.6954,                   1.24,              0.0003104,              0.0003104,              0.0003104
                     67,                0.67151,                 2.1213,                0.14234,                0.43993,                 1.0167,                0.92787,                0.84217,                0.92372,                0.69776,                0.68262,                0.53514,                0.46039,                0.29579,                0.97395,                  4.273,                 0.2786,                0.68186,                 1.2463,               0.000284,               0.000284,               0.000284
                     68,                0.67294,                 2.0986,                0.13887,                0.44067,                 1.0197,                0.92536,                0.84587,                0.92241,                0.70018,                0.72654,                0.58642,                0.54169,                0.32697,                0.96881,                  3.946,                 0.2796,                0.68844,                 1.2468,              0.0002576,              0.0002576,              0.0002576
                     69,                0.64965,                 2.0156,                0.13751,                0.42631,                 1.0091,                0.90972,                0.85736,                0.92351,                0.70284,                0.73314,                0.58265,                0.53474,                0.32837,                0.95274,                 4.0069,                0.27114,                0.68092,                  1.238,              0.0002312,              0.0002312,              0.0002312
                     70,                0.65275,                 2.0342,                0.13882,                0.43034,                 1.0038,                0.92122,                0.85068,                0.92692,                    0.7,                0.74202,                0.59228,                0.54013,                 0.3299,                 0.9588,                 3.9383,                0.26762,                0.66241,                  1.246,              0.0002048,              0.0002048,              0.0002048
                     71,                0.64767,                 2.0076,                 0.1384,                0.42069,                 1.0063,                0.94093,                0.83107,                 0.9234,                0.70438,                0.71361,                0.57148,                0.50337,                0.31417,                0.94305,                 4.0988,                0.26888,                0.65961,                 1.2327,              0.0001784,              0.0001784,              0.0001784
                     72,                0.63344,                 1.9563,                0.13751,                0.41118,                0.99847,                0.94218,                0.83847,                0.92846,                0.70125,                0.79085,                0.63255,                0.59608,                0.35435,                0.95843,                 3.6908,                0.26937,                0.65996,                 1.2389,               0.000152,               0.000152,               0.000152
                     73,                0.63939,                 1.9489,                0.13691,                0.41787,                0.99992,                0.92932,                 0.8431,                0.92279,                  0.704,                 0.7359,                 0.5783,                 0.5291,                0.32716,                 0.9534,                 3.9381,                 0.2676,                0.66324,                 1.2419,              0.0001256,              0.0001256,              0.0001256
                     74,                0.62455,                 1.9154,                0.13346,                0.40054,                0.98988,                 0.9337,                0.85095,                0.92744,                0.70512,                0.73241,                0.59309,                0.53326,                0.33052,                0.95625,                 3.8717,                0.27089,                0.66342,                  1.245,               9.92e-05,               9.92e-05,               9.92e-05
                     75,                0.61336,                 1.8861,                0.13184,                0.40528,                 0.9866,                0.93469,                 0.8397,                  0.925,                0.70464,                0.72031,                0.58749,                0.52565,                0.32936,                0.95149,                 3.9291,                0.26949,                0.66404,                  1.244,               7.28e-05,               7.28e-05,               7.28e-05
